epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,314.897,0.69899,0.52999,1.09203,0.8311,0.84248,0.88772,0.66057,0.90075,0.71283,1.32301,0.000539275,0.000539275,0.000539275
43,322.017,0.71689,0.55913,1.09618,0.82482,0.89493,0.8996,0.67677,0.87674,0.6798,1.31704,0.000511769,0.000511769,0.000511769
44,328.704,0.67062,0.55004,1.07493,0.72989,0.89563,0.88629,0.64476,0.88533,0.66321,1.31352,0.000484263,0.000484263,0.000484263
45,335.418,0.66449,0.53892,1.07594,0.89839,0.72826,0.89808,0.64709,0.87236,0.6656,1.32045,0.000456758,0.000456758,0.000456758
46,342.428,0.67847,0.50822,1.09321,0.90354,0.72144,0.89168,0.6719,0.87712,0.70151,1.30318,0.000429253,0.000429253,0.000429253
47,349.254,0.66773,0.50284,1.08058,0.73065,0.94267,0.89268,0.67139,0.85501,0.66977,1.25654,0.000401747,0.000401747,0.000401747
48,356.267,0.65952,0.51311,1.0742,0.79519,0.93659,0.89699,0.64435,0.85548,0.66436,1.26673,0.000374242,0.000374242,0.000374242
49,363.502,0.59186,0.43599,1.01711,0.74246,0.93659,0.88407,0.6384,0.84426,0.68566,1.26964,0.000346736,0.000346736,0.000346736
50,370.616,0.62977,0.45336,1.05551,0.79696,0.83152,0.82435,0.60501,0.87064,0.71767,1.27271,0.000319231,0.000319231,0.000319231
51,380.682,0.56008,0.42131,0.99277,0.79496,0.84478,0.83708,0.60332,0.85733,0.68602,1.28044,0.000291725,0.000291725,0.000291725
52,388.009,0.54989,0.40122,1.00349,0.77414,0.93659,0.87208,0.64993,0.80759,0.67971,1.21473,0.00026422,0.00026422,0.00026422
53,394.988,0.52456,0.39544,0.98638,0.82133,0.89602,0.90047,0.66712,0.83401,0.69207,1.21815,0.000236714,0.000236714,0.000236714
54,401.97,0.54007,0.3903,1.01691,0.79288,0.95833,0.88962,0.641,0.86118,0.68128,1.23611,0.000209209,0.000209209,0.000209209
55,408.431,0.55228,0.38873,0.98768,0.80723,0.92653,0.84678,0.61531,0.83599,0.67702,1.20967,0.000181703,0.000181703,0.000181703
56,415.521,0.51043,0.37333,1.00953,0.76838,0.93619,0.86839,0.63955,0.77407,0.66842,1.18037,0.000154198,0.000154198,0.000154198
57,422.246,0.48638,0.35318,0.96783,0.76577,0.93239,0.87805,0.66495,0.79099,0.66689,1.19617,0.000126692,0.000126692,0.000126692
58,429.39,0.5008,0.33859,0.97912,0.75524,0.93659,0.87631,0.65378,0.77401,0.66725,1.20751,9.91865e-05,9.91865e-05,9.91865e-05
59,436.106,0.49842,0.35534,0.98015,0.75033,0.95833,0.87342,0.64025,0.76335,0.67386,1.2114,7.1681e-05,7.1681e-05,7.1681e-05
60,443.723,0.49117,0.34174,0.9657,0.75944,0.95833,0.87222,0.64188,0.75874,0.67885,1.21484,4.41755e-05,4.41755e-05,4.41755e-05
